num_pre,T1,L1,B1,R1,time_pre,file_order,,,num_post,T2,L2,B2,R2,time_post
Question 1,C,H,N,H,8000,Q23,0,1,Question 8,C,H,N,H,8000
Result 1,H,C,H,N,13792,R23,,,Result 8,C,H,N,H,11240
Question 2,C,-,N,O,4000,Q8,0.5,1,Question 5,C,-,N,O,4000
Result 2,N,-,H,O,14006,R8,,,Result 5,C,-,N,O,10160
Question 3,C,-,C,N,8000,Q3,0.25,1,Question 19,C,-,C,N,8000
Result 3,N,-,O,C,20960,R3,,,Result 19,C,-,C,N,13042
Question 4,H,N,C,C,4000,Q26,0.75,1,Question 22,H,N,C,C,4000
Result 4,H,N,H,C,15956,R26,,,Result 22,H,N,C,C,9999
Question 5,C,H,O,H,4000,Q24,0,0.75,Question 3,C,H,O,H,4000
Result 5,H,C,H,N,15441,R24,,,Result 3,C,H,-,H,9639
Question 6,C,-,N,O,8000,Q9,0.5,0.75,Question 12,C,-,N,O,8000
Result 6,H,-,C,O,21799,R9,,,Result 12,C,-,N,N,7479
Question 7,H,C,C,C,8000,Q13,0.25,1,Question 28,H,C,C,C,8000
Result 7,H,H,N,N,16484,R13,,,Result 28,H,C,C,C,12158
Question 8,C,H,H,H,4000,Q20,0.75,0.75,Question 10,C,H,H,H,4000
Result 8,N,H,H,H,12078,R20,,,Result 10,C,-,H,H,10041
Question 9,C,H,-,N,4000,Q18,0.25,1,Question 6,C,H,-,N,4000
Result 9,N,N,-,C,7920,R18,,,Result 6,C,H,-,N,8600
Question 10,N,-,N,N,8000,Q7,0.25,1,Question 4,N,-,N,N,8000
Result 10,C,-,C,C,9720,R7,,,Result 4,N,-,N,N,10801
Question 11,C,-,C,O,8000,Q5,0.5,1,Question 23,C,-,C,O,8000
Result 11,N,-,N,O,7360,R5,,,Result 23,C,-,C,O,19281
Question 12,H,C,H,C,8000,Q17,0.5,1,Question 25,H,C,H,C,8000
Result 12,H,C,-,N,11601,R17,,,Result 25,H,C,H,C,11239
Question 13,C,C,C,C,4000,Q0,0,0,Question 13,C,C,C,C,4000
Result 13,H,H,H,H,9120,R0,,,Result 13,H,H,H,H,9480
Question 14,N,-,N,N,4000,Q6,0.25,1,Question 20,N,-,N,N,4000
Result 14,C,-,C,C,17201,R6,,,Result 20,N,-,N,N,7039
Question 15,O,C,-,O,4000,Q10,0.5,0.75,Question 9,O,C,-,O,4000
Result 15,-,N,-,O,6999,R10,,,Result 9,-,C,-,O,6960
Question 16,H,C,C,O,8000,Q15,0.75,0.75,Question 14,H,C,C,O,8000
Result 16,H,C,N,O,15280,R15,,,Result 14,H,C,C,N,17601
Question 17,H,C,C,C,4000,Q12,0.5,,Question 26,H,C,C,C,4000
Result 17,H,N,C,N,7481,R12,,,Result 26,H,C,C,C,6401
Question 18,H,C,H,C,4000,Q16,0.5,0.75,Question 2,H,C,H,C,4000
Result 18,H,N,H,H,5680,R16,,,Result 2,H,N,H,C,15960
Question 19,C,H,-,N,8000,Q19,0.75,1,Question 16,C,H,-,N,8000
Result 19,C,H,-,O,14361,R19,,,Result 16,C,H,-,N,10200
Question 20,H,C,C,O,4000,Q14,0.5,0.5,Question 7,H,C,C,O,4000
Result 20,H,N,C,H,14360,R14,,,Result 7,H,C,-,N,18480
Question 21,H,N,C,C,4000,Q27,0.25,0.5,Question 21,H,N,C,C,4000
Result 21,H,C,H,N,10080,R27,,,Result 21,H,N,N,-,8481
Question 22,O,C,-,O,8000,Q11,1,1,Question 18,O,C,-,O,8000
Result 22,O,C,-,O,9440,R11,,,Result 18,O,C,-,O,9679
Question 23,C,H,N,H,4000,Q22,0.75,1,Question 17,C,H,N,H,4000
Result 23,C,H,-,H,8240,R22,,,Result 17,C,H,N,H,7800
Question 24,C,-,C,O,4000,Q4,0.75,1,Question 11,C,-,C,O,4000
Result 24,C,-,C,H,11040,R4,,,Result 11,C,-,C,O,8201
Question 25,C,-,C,N,4000,Q2,0.25,0.75,Question 27,C,-,C,N,4000
Result 25,O,-,O,C,13160,R2,,,Result 27,N,-,C,N,7400
Question 26,C,H,H,H,8000,Q21,0.75,0.75,Question 1,C,H,H,H,8000
Result 26,N,H,H,H,11322,R21,,,Result 1,N,H,H,H,8297
Question 27,C,H,O,H,8000,Q25,0.75,1,Question 15,C,H,O,H,8000
Result 27,C,H,N,H,10038,R25,,,Result 15,C,H,O,H,17920
Question 28,C,C,C,C,8000,Q1,0,1,Question 24,C,C,C,C,8000
Result 28,H,H,H,H,10280,R1,,,Result 24,C,C,C,C,9841
,,,,,,,,,,,,,,
,,,,,,,12.75,23,,,,,,
