num_pre,T1,L1,B1,R1,time_pre,file_order,,,num_post,T2,L2,B2,R2,time_post
Question 1,C,-,C,O,4000,Q4,0.5,0.5,Question 6,C,-,C,O,4000
Result 1,H,-,N,O,13463,R4,,,Result 6,N,-,N,O,10440
Question 2,C,H,O,H,4000,Q24,0.5,0.25,Question 22,C,H,O,H,4000
Result 2,H,H,-,H,13755,R24,,,Result 22,N,H,C,-,15442
Question 3,C,H,N,H,8000,Q23,0.5,1,Question 27,C,H,N,H,8000
Result 3,-,H,H,H,20840,R23,,,Result 27,C,H,N,H,16922
Question 4,C,-,C,O,8000,Q5,0.5,0.25,Question 8,C,-,C,H,8000
Result 4,-,-,H,O,21521,R5,,,Result 8,N,-,N,O,16639
Question 5,C,C,C,C,8000,Q1,0,1,Question 19,C,C,C,C,8000
Result 5,-,H,H,-,9204,R1,,,Result 19,C,C,C,C,12121
Question 6,C,H,-,N,4000,Q18,0.75,0.75,Question 13,C,H,-,N,4000
Result 6,-,H,-,N,12115,R18,,,Result 13,C,H,-,C,11438
Question 7,C,C,C,C,4000,Q0,0,1,Question 16,C,C,C,C,4000
Result 7,-,H,H,H,9521,R0,,,Result 16,C,C,C,C,13638
Question 8,H,C,C,C,8000,Q13,0.25,0.75,Question 3,H,C,C,C,8000
Result 8,H,H,N,H,21120,R13,,,Result 3,H,C,N,C,17561
Question 9,N,-,N,N,8000,Q7,0.25,1,Question 17,N,-,N,N,8000
Result 9,O,-,O,O,10601,R7,,,Result 17,N,-,N,N,11680
Question 10,N,-,N,N,4000,Q6,0.25,1,Question 11,N,-,N,N,4000
Result 10,O,-,O,O,9320,R6,,,Result 11,N,-,N,N,12720
Question 11,C,H,H,H,8000,Q21,0.75,1,Question 7,C,H,H,H,8000
Result 11,N,H,H,H,17759,R21,,,Result 7,C,H,H,H,16401
Question 12,C,H,H,H,4000,Q20,0.75,0.75,Question 4,C,H,H,H,4000
Result 12,N,H,H,H,10521,R20,,,Result 4,N,H,H,H,19001
Question 13,C,-,N,O,8000,Q9,0.75,1,Question 28,C,-,N,O,8000
Result 13,C,-,O,O,10481,R9,,,Result 28,C,-,N,O,17399
Question 14,H,N,C,C,4000,Q26,0,0.75,Question 21,H,N,C,C,4000
Result 14,C,H,O,-,13519,R26,,,Result 21,H,N,C,-,14961
Question 15,H,C,H,C,4000,Q16,0.25,1,Question 24,H,C,H,C,4000
Result 15,H,H,N,-,13202,R16,,,Result 24,H,C,H,C,17124
Question 16,O,C,-,O,8000,Q11,0.75,0.75,Question 12,O,C,-,O,8000
Result 16,O,N,-,O,18840,R11,,,Result 12,O,N,-,O,18843
Question 17,H,C,C,O,8000,Q15,0.5,0.75,Question 18,H,C,C,O,8000
Result 17,N,N,C,O,13840,R15,,,Result 18,H,C,C,N,19520
Question 18,C,-,C,N,8000,Q3,0.25,1,Question 1,C,-,C,N,8000
Result 18,N,-,N,C,21320,R3,,,Result 1,C,-,C,N,18880
Question 19,C,H,-,N,8000,Q19,1,0.75,Question 10,C,H,-,N,8000
Result 19,C,H,-,N,15080,R19,,,Result 10,C,H,-,C,16080
Question 20,C,-,C,N,4000,Q2,0.25,0.25,Question 5,C,-,C,N,4000
Result 20,N,-,N,C,14720,R2,,,Result 5,N,-,N,O,13160
Question 21,O,C,-,O,4000,Q10,0.5,0.75,Question 9,O,C,-,O,4000
Result 21,N,N,-,O,10801,R10,,,Result 9,-,C,-,O,12000
Question 22,H,N,C,C,4000,Q27,0,0.25,Question 25,H,N,C,C,4000
Result 22,C,C,O,H,13000,R27,,,Result 25,C,N,H,N,18700
Question 23,C,H,O,H,8000,Q25,0.75,0.75,Question 15,C,H,O,H,8000
Result 23,C,H,N,H,14520,R25,,,Result 15,C,H,N,H,19322
Question 24,C,-,N,O,4000,Q8,0.5,1,Question 2,C,-,N,O,4000
Result 24,C,-,O,-,5520,R8,,,Result 2,C,-,N,O,13480
Question 25,H,C,H,C,8000,Q17,0.5,1,Question 23,H,C,H,C,8000
Result 25,H,N,H,N,15641,R17,,,Result 23,H,C,H,C,19531
Question 26,H,C,C,C,4000,Q12,0.5,0.75,Question 14,H,C,C,C,4000
Result 26,N,C,C,-,15960,R12,,,Result 14,H,C,-,C,11041
Question 27,H,C,C,O,4000,Q14,0.25,0.5,Question 26,H,C,C,O,4000
Result 27,C,-,N,O,16841,R14,,,Result 26,C,C,N,O,18598
Question 28,C,H,N,H,4000,Q22,0.75,0.5,Question 20,C,H,N,H,4000
Result 28,C,H,N,-,15719,R22,,,Result 20,N,H,C,H,15879
,,,,,,,12.5,21,,,,,,
