num_pre,T1,L1,B1,R1,time_pre,file_order,,,num_post,T2,L2,B2,R2,time_post
Question 1,C,H,N,H,8000,Q23,0.25,0.5,Question 13,C,H,N,H,8000
Result 1,O,-,-,H,18376,R23,,,Result 13,O,H,C,H,8520
Question 2,C,-,C,N,8000,Q3,0.5,1,Question 4,C,-,C,N,8000
Result 2,C,C,C,O,16520,R3,,,Result 4,C,-,C,N,10360
Question 3,C,-,N,O,8000,Q9,0.5,0.75,Question 1,C,-,N,O,8000
Result 3,C,-,O,N,9324,R9,,,Result 1,C,-,O,O,17000
Question 4,H,N,C,C,4000,Q26,0.75,0.75,Question 19,H,N,C,C,4000
Result 4,H,C,C,C,7756,R26,,,Result 19,H,C,C,C,6920
Question 5,H,C,C,O,8000,Q15,1,1,Question 21,H,C,C,O,8000
Result 5,H,C,C,O,7986,R15,,,Result 21,H,C,C,O,5403
Question 6,H,C,C,C,8000,Q13,0.75,1,Question 9,H,C,C,C,8000
Result 6,H,-,C,C,8000,R13,,,Result 9,H,C,C,C,6160
Question 7,N,-,N,N,4000,Q6,0.25,0.25,Question 28,N,-,N,N,4000
Result 7,C,-,C,C,6880,R6,,,Result 28,C,-,C,C,5440
Question 8,C,H,H,H,4000,Q20,0.75,1,Question 12,C,H,H,H,4000
Result 8,H,H,H,H,7401,R20,,,Result 12,C,H,H,H,6041
Question 9,C,-,C,O,4000,Q4,1,1,Question 26,C,-,C,O,4000
Result 9,C,-,C,O,4839,R4,,,Result 26,C,-,C,O,5119
Question 10,O,C,-,O,8000,Q11,1,1,Question 17,O,C,-,O,8000
Result 10,O,C,-,O,7260,R11,,,Result 17,O,C,-,O,7082
Question 11,H,C,H,C,4000,Q16,1,0.75,Question 24,H,C,H,C,4000
Result 11,H,C,H,C,7320,R16,,,Result 24,-,C,H,C,4719
Question 12,C,H,-,N,4000,Q18,0.5,0.75,Question 16,C,H,-,N,4000
Result 12,H,H,-,C,5920,R18,,,Result 16,C,H,-,C,5280
Question 13,C,H,O,H,4000,Q24,0.5,0.5,Question 5,C,H,O,H,4000
Result 13,H,H,H,H,4801,R24,,,Result 5,H,H,C,H,5681
Question 14,C,H,-,N,8000,Q19,0.5,0.75,Question 22,C,H,-,N,8000
Result 14,H,H,-,C,4759,R19,,,Result 22,C,H,-,O,5320
Question 15,C,H,H,H,8000,Q21,1,1,Question 27,C,H,H,H,8000
Result 15,C,H,H,H,8041,R21,,,Result 27,C,H,H,H,6921
Question 16,C,-,C,O,8000,Q5,1,1,Question 8,C,-,C,O,8000
Result 16,C,-,C,O,5840,R5,,,Result 8,C,-,C,O,5521
Question 17,C,-,C,N,4000,Q2,0.5,0.75,Question 6,C,-,C,N,4000
Result 17,C,-,-,O,7241,R2,,,Result 6,C,-,C,O,6239
Question 18,C,H,N,H,4000,Q22,0.5,0.5,Question 14,C,H,N,H,4000
Result 18,H,H,C,H,5519,R22,,,Result 14,O,H,-,H,5520
Question 19,C,-,N,O,4000,Q8,0.5,0.75,Question 7,C,-,N,O,4000
Result 19,C,-,C,C,4641,R8,,,Result 7,C,-,O,O,6400
Question 20,C,H,O,H,8000,Q25,0.5,0.5,Question 15,C,H,O,H,8000
Result 20,H,H,C,H,6520,R25,,,Result 15,N,H,N,H,8839
Question 21,N,-,N,N,8000,Q7,0.25,1,Question 23,N,-,N,N,8000
Result 21,C,-,C,C,7119,R7,,,Result 23,N,-,N,N,8721
Question 22,O,C,-,O,4000,Q10,0.75,0.75,Question 20,O,C,-,O,4000
Result 22,-,C,-,O,4761,R10,,,Result 20,-,C,-,O,5240
Question 23,C,C,C,C,8000,Q1,1,1,Question 10,C,C,C,C,8000
Result 23,C,C,C,C,4719,R1,,,Result 10,C,C,C,C,7922
Question 24,H,N,C,C,4000,Q27,0.5,0.75,Question 11,H,N,C,C,4000
Result 24,O,O,C,C,8761,R27,,,Result 11,H,O,C,C,5478
Question 25,C,C,C,C,4000,Q0,1,1,Question 25,C,C,C,C,4000
Result 25,C,C,C,C,5640,R0,,,Result 25,C,C,C,C,5880
Question 26,H,C,H,C,8000,Q17,1,1,Question 3,H,C,H,C,8000
Result 26,H,C,H,C,5961,R17,,,Result 3,H,C,H,C,7960
Question 27,H,C,C,O,4000,Q14,1,1,Question 18,H,C,C,O,4000
Result 27,H,C,C,O,6719,R14,,,Result 18,H,C,C,O,6519
Question 28,H,C,C,C,4000,Q12,1,0.75,Question 2,H,C,C,C,4000
Result 28,H,C,C,C,4880,R12,,,Result 2,H,-,C,C,4920
,,,,,,,,,,,,,,
,17,23,19,20,199504,,,,,21,25,21,24,187125
