num_pre,T1,L1,B1,R1,time_pre,file_order,,,num_post,T2,L2,B2,R2,time_post
Question 1,H,C,C,C,4000,Q12,0.5,1,Question 10,H,C,C,C,4000
Result 1,H,-,C,H,14266,R12,,,Result 10,H,C,C,C,9080
Question 2,C,H,H,H,8000,Q21,0.75,1,Question 28,C,H,H,H,8000
Result 2,C,H,H,-,15196,R21,,,Result 28,C,H,H,H,10559
Question 3,N,-,N,N,8000,Q7,1,1,Question 27,N,-,N,N,8000
Result 3,N,-,N,N,12079,R7,,,Result 27,N,-,N,N,10359
Question 4,H,N,C,C,8000,Q27,0.75,1,Question 26,H,N,C,C,8000
Result 4,H,N,C,H,13763,R27,,,Result 26,H,N,C,C,10082
Question 5,C,-,C,N,8000,Q3,1,1,Question 15,C,-,C,N,8000
Result 5,C,-,C,N,10319,R3,,,Result 15,C,-,C,N,14799
Question 6,C,H,-,N,8000,Q19,0.75,0.25,Question 24,C,H,-,N,8000
Result 6,H,H,-,N,14440,R19,,,Result 24,H,H,C,C,17842
Question 7,C,C,C,C,4000,Q0,1,1,Question 20,C,C,C,C,4000
Result 7,C,C,C,C,13320,R0,,,Result 20,C,C,C,C,8439
Question 8,N,-,N,N,4000,Q6,1,1,Question 21,N,-,N,N,4000
Result 8,N,-,N,N,8721,R6,,,Result 21,N,-,N,N,8119
Question 9,C,-,C,N,4000,Q2,1,1,Question 17,C,-,C,N,4000
Result 9,C,-,C,N,8320,R2,,,Result 17,C,-,C,N,8082
Question 10,H,C,H,C,4000,Q16,1,0.75,Question 12,H,C,H,C,4000
Result 10,H,C,H,C,11480,R16,,,Result 12,-,C,H,C,9681
Question 11,C,-,C,O,8000,Q5,1,0.5,Question 2,C,-,C,O,8000
Result 11,C,-,C,O,10959,R5,,,Result 2,N,-,N,O,12200
Question 12,O,C,-,O,8000,Q11,1,0.75,Question 22,O,C,-,O,8000
Result 12,O,C,-,O,10442,R11,,,Result 22,O,C,O,O,10320
Question 13,H,C,H,C,8000,Q17,1,1,Question 11,H,C,H,C,8000
Result 13,H,C,H,C,12839,R17,,,Result 11,H,C,H,C,9439
Question 14,H,C,C,C,8000,Q13,1,1,Question 6,H,C,C,C,8000
Result 14,H,C,C,C,12120,R13,,,Result 6,H,C,C,C,9961
Question 15,C,-,C,O,4000,Q4,0.5,1,Question 7,C,-,C,O,4000
Result 15,-,-,N,O,10480,R4,,,Result 7,C,-,C,O,7680
Question 16,C,H,N,H,8000,Q23,1,1,Question 5,C,H,N,H,8000
Result 16,C,H,N,H,13200,R23,,,Result 5,C,H,N,H,11399
Question 17,C,-,N,O,8000,Q9,0.75,1,Question 18,C,-,N,O,8000
Result 17,C,-,N,N,11680,R9,,,Result 18,C,-,N,O,10719
Question 18,C,H,O,H,4000,Q24,0.5,0.75,Question 9,C,H,O,H,4000
Result 18,H,H,H,H,13881,R24,,,Result 9,C,H,C,H,14438
Question 19,C,H,N,H,4000,Q22,0.75,0.75,Question 13,C,H,N,H,4000
Result 19,C,H,O,H,16280,R22,,,Result 13,C,H,N,C,15920
Question 20,H,C,C,O,8000,Q15,1,1,Question 3,H,C,C,O,8000
Result 20,H,C,C,O,11160,R15,,,Result 3,H,C,C,O,9442
Question 21,H,N,C,C,4000,Q26,0.75,1,Question 25,H,N,C,C,4000
Result 21,C,N,-,N,11721,R26,,,Result 25,H,N,C,C,10199
Question 22,C,C,C,C,8000,Q1,1,1,Question 14,C,C,C,C,8000
Result 22,C,C,C,C,10000,R1,,,Result 14,C,C,C,C,9961
Question 23,H,C,C,O,4000,Q14,1,1,Question 8,H,C,C,O,4000
Result 23,H,C,C,O,9922,R14,,,Result 8,H,C,C,O,7162
Question 24,C,-,N,O,4000,Q8,1,1,Question 19,C,-,N,O,4000
Result 24,C,-,N,O,20679,R8,,,Result 19,C,-,N,O,11362
Question 25,C,H,H,H,4000,Q20,1,1,Question 1,C,H,H,H,4000
Result 25,C,H,H,H,9000,R20,,,Result 1,C,H,H,H,10079
Question 26,O,C,-,O,4000,Q10,0.5,0.5,Question 23,O,C,-,O,4000
Result 26,-,C,O,O,10241,R10,,,Result 23,-,C,O,O,9400
Question 27,C,H,-,N,4000,Q18,1,1,Question 4,C,H,-,N,4000
Result 27,C,H,-,N,7760,R18,,,Result 4,C,H,-,N,8239
Question 28,C,H,O,H,8000,Q25,0.5,1,Question 16,C,H,O,H,8000
Result 28,C,C,O,C,17238,R25,,,Result 16,C,H,O,H,11800
,,,,,,,,,,,,,,
,23,26,23,22,337506,,23.5,25.25,,24,28,23,26,292762
