num_pre,T1,L1,B1,R1,time_pre,file_order,,,num_post,T2,L2,B2,R2,time_post
Question 1,C,-,N,O,8000,Q9,0.5,1,Question 11,C,-,N,O,8000
Result 1,H,-,-,O,28294,R9,,,Result 11,C,-,N,O,9440
Question 2,N,-,N,N,4000,Q6,0.25,0.25,Question 3,N,-,N,N,4000
Result 2,N,O,-,-,16041,R6,,,Result 3,-,-,C,C,6880
Question 3,H,C,C,O,4000,Q14,0.5,0.5,Question 2,H,C,C,O,4000
Result 3,H,C,-,-,11045,R14,,,Result 2,H,-,N,O,5720
Question 4,C,-,C,O,8000,Q5,0.5,0.5,Question 18,C,-,C,O,8000
Result 4,C,H,N,O,16315,R5,,,Result 18,N,-,N,O,8640
Question 5,H,C,H,C,8000,Q17,0.5,1,Question 8,H,C,H,C,8000
Result 5,H,H,H,H,14360,R17,,,Result 8,H,C,H,C,10600
Question 6,C,H,N,H,8000,Q23,0.5,0.75,Question 17,C,H,N,H,8000
Result 6,H,H,O,H,12721,R23,,,Result 17,H,H,N,H,8960
Question 7,H,C,C,C,4000,Q12,0.25,0.5,Question 10,H,C,C,C,4000
Result 7,H,H,H,H,11079,R12,,,Result 10,C,-,C,C,9680
Question 8,C,H,-,N,8000,Q19,0.5,0.5,Question 19,C,H,-,N,8000
Result 8,H,H,-,C,11121,R19,,,Result 19,N,H,-,C,8840
Question 9,C,-,C,N,8000,Q3,0.75,1,Question 24,C,-,C,N,8000
Result 9,C,-,C,C,13161,R3,,,Result 24,C,-,C,N,9121
Question 10,N,-,N,N,8000,Q7,1,1,Question 28,N,-,N,N,8000
Result 10,N,-,N,N,14479,R7,,,Result 28,N,-,N,N,9040
Question 11,C,-,N,O,4000,Q8,0.5,0.75,Question 27,C,-,N,O,4000
Result 11,C,-,-,-,5601,R8,,,Result 27,C,-,N,N,7239
Question 12,H,N,C,C,4000,Q26,0.25,0.5,Question 15,H,N,C,C,4000
Result 12,H,-,H,-,7519,R26,,,Result 15,H,N,H,H,5240
Question 13,C,H,N,H,4000,Q22,0.5,0.5,Question 13,C,H,N,H,4000
Result 13,-,H,C,H,8521,R22,,,Result 13,-,H,C,H,5240
Question 14,C,H,-,N,4000,Q18,0.75,1,Question 16,C,H,-,N,4000
Result 14,-,H,-,N,7479,R18,,,Result 16,C,H,-,N,6640
Question 15,C,H,O,H,4000,Q24,0.5,0.5,Question 7,C,H,O,H,4000
Result 15,-,H,H,H,5400,R24,,,Result 7,-,H,C,H,6022
Question 16,C,-,C,O,4000,Q4,0.5,0.5,Question 1,C,-,C,O,4000
Result 16,-,-,N,O,9360,R4,,,Result 1,N,-,N,O,10121
Question 17,C,H,H,H,8000,Q21,1,0.75,Question 6,C,H,H,H,8000
Result 17,C,H,H,H,9401,R21,,,Result 6,H,H,H,H,8000
Question 18,O,C,-,O,8000,Q11,0.5,0.75,Question 22,O,C,-,O,8000
Result 18,-,N,-,O,9120,R11,,,Result 22,O,N,-,O,9001
Question 19,H,C,C,C,8000,Q13,0.25,1,Question 12,H,C,C,C,8000
Result 19,H,H,H,H,8000,R13,,,Result 12,H,C,C,C,8760
Question 20,H,C,C,O,8000,Q15,0.5,0.75,Question 9,H,C,C,O,8000
Result 20,H,H,H,O,8480,R15,,,Result 9,H,H,C,O,7600
Question 21,C,H,O,H,8000,Q25,1,0.75,Question 26,C,H,O,H,8000
Result 21,C,H,O,H,10960,R25,,,Result 26,C,H,N,H,8920
Question 22,H,C,H,C,4000,Q16,0.5,0.75,Question 4,H,C,H,C,4000
Result 22,H,H,H,H,7760,R16,,,Result 4,H,-,H,C,7360
Question 23,C,-,C,N,4000,Q2,0.5,0.75,Question 20,C,-,C,N,4000
Result 23,-,-,-,N,7400,R2,,,Result 20,-,-,C,N,6642
Question 24,O,C,-,O,4000,Q10,0.75,0.75,Question 25,O,C,-,O,4000
Result 24,-,C,-,O,4921,R10,,,Result 25,-,C,-,O,6719
Question 25,C,C,C,C,4000,Q0,0.75,0,Question 23,C,C,C,C,4000
Result 25,-,C,C,C,5959,R0,,,Result 23,N,N,N,N,5680
Question 26,C,C,C,C,8000,Q1,0.5,0,Question 5,C,C,C,C,8000
Result 26,-,C,H,C,5761,R1,,,Result 5,N,N,N,N,9401
Question 27,C,H,H,H,4000,Q20,0.75,1,Question 14,C,H,H,H,4000
Result 27,H,H,H,H,6760,R20,,,Result 14,C,H,H,H,5560
Question 28,H,N,C,C,8000,Q27,0.25,0.75,Question 21,H,N,C,C,8000
Result 28,C,N,-,-,6359,R27,,,Result 21,H,N,-,C,6198
,,,,,,,15.5,18.75,,,,,,
