num_pre,T1,L1,B1,R1,time_pre,file_order,num_post,T2,L2,B2,R2,time_post
Question 1,N,-,N,N,4000,Q6,Question 26,N,-,N,N,4000
Result 1,-,-,N,N,10340,R6,Result 26,N,-,N,N,7080
Question 2,H,C,C,O,4000,Q14,Question 18,H,C,C,O,4000
Result 2,H,H,H,H,18882,R14,Result 18,H,C,C,O,9200
Question 3,C,H,-,N,4000,Q18,Question 2,C,H,-,N,4000
Result 3,C,H,-,N,7438,R18,Result 2,C,H,-,N,9600
Question 4,C,H,O,H,4000,Q24,Question 22,C,H,O,H,4000
Result 4,-,H,H,H,5322,R24,Result 22,H,H,H,H,8840
Question 5,C,H,N,H,4000,Q22,Question 17,C,H,N,H,4000
Result 5,H,H,N,C,8758,R22,Result 17,C,H,N,H,11161
Question 6,C,H,N,H,8000,Q23,Question 27,C,H,N,H,8000
Result 6,C,H,C,H,9085,R23,Result 27,C,H,O,H,10081
Question 7,O,C,-,O,4000,Q10,Question 5,O,C,-,O,4000
Result 7,N,N,N,O,9517,R10,Result 5,-,C,-,O,8879
Question 8,H,C,H,C,4000,Q16,Question 14,H,C,H,C,4000
Result 8,H,C,H,C,8880,R16,Result 14,H,C,H,C,8160
Question 9,H,C,C,C,8000,Q13,Question 1,H,C,C,C,8000
Result 9,H,C,H,C,15759,R13,Result 1,H,C,C,C,11778
Question 10,C,-,C,N,4000,Q2,Question 12,C,-,C,N,4000
Result 10,N,-,N,O,8160,R2,Result 12,C,-,C,O,7480
Question 11,C,-,C,N,8000,Q3,Question 7,C,-,C,N,8000
Result 11,N,-,N,O,9441,R3,Result 7,C,-,C,N,8600
Question 12,O,C,-,O,8000,Q11,Question 21,O,C,-,O,8000
Result 12,O,N,-,O,11161,R11,Result 21,O,N,-,O,7720
Question 13,C,-,N,O,8000,Q9,Question 9,C,-,N,O,8000
Result 13,N,-,N,O,10280,R9,Result 9,C,-,N,O,8001
Question 14,C,H,H,H,4000,Q20,Question 20,C,H,H,H,4000
Result 14,C,H,H,H,9159,R20,Result 20,H,H,H,H,9320
Question 15,H,C,C,O,8000,Q15,Question 4,H,C,C,O,8000
Result 15,H,C,C,N,11880,R15,Result 4,H,C,H,O,9921
Question 16,C,C,C,C,8000,Q1,Question 11,C,C,C,C,8000
Result 16,C,C,C,C,13082,R1,Result 11,C,C,C,C,8440
Question 17,C,H,H,H,8000,Q21,Question 23,C,H,H,H,8000
Result 17,C,H,H,H,11519,R21,Result 23,C,H,H,H,9720
Question 18,H,C,C,C,4000,Q12,Question 19,H,C,C,C,4000
Result 18,H,C,C,C,7600,R12,Result 19,H,C,C,C,9120
Question 19,H,N,C,C,4000,Q26,Question 15,H,N,C,C,4000
Result 19,H,N,H,C,10280,R26,Result 15,H,N,H,-,8199
Question 20,C,H,O,H,8000,Q25,Question 28,C,H,O,H,8000
Result 20,C,H,N,H,12841,R25,Result 28,H,H,O,H,6758
Question 21,H,C,H,C,8000,Q17,Question 13,H,C,H,C,8000
Result 21,H,C,H,C,10279,R17,Result 13,H,C,H,C,6361
Question 22,C,-,C,O,8000,Q5,Question 3,C,-,C,O,8000
Result 22,N,-,N,O,12201,R5,Result 3,N,-,N,O,8560
Question 23,H,N,C,C,8000,Q27,Question 8,H,N,C,C,8000
Result 23,H,N,C,C,11519,R27,Result 8,H,N,C,C,10040
Question 24,N,-,N,N,8000,Q7,Question 24,N,-,N,N,8000
Result 24,N,-,N,N,12401,R7,Result 24,N,-,N,N,9200
Question 25,C,-,C,O,4000,Q4,Question 6,C,-,C,O,4000
Result 25,N,-,C,O,13121,R4,Result 6,N,-,N,O,7360
Question 26,C,C,C,C,4000,Q0,Question 10,C,C,C,C,4000
Result 26,C,C,C,C,9440,R0,Result 10,C,C,C,C,9080
Question 27,C,H,-,N,8000,Q19,Question 25,C,H,-,N,8000
Result 27,C,H,-,N,10360,R19,Result 25,C,H,-,N,4721
Question 28,C,-,N,O,4000,Q8,Question 16,C,-,N,O,4000
Result 28,N,-,N,O,12119,R8,Result 16,N,-,O,O,6120
