num_pre,T1,L1,B1,R1,time_pre,file_order,num_post,T2,L2,B2,R2,time_post
Question 1,C,-,C,O,4000,Q4,Question 3,C,-,C,O,4000
Result 1,-,-,C,O,15098,R4,Result 3,C,-,C,O,11880
Question 2,C,H,-,N,4000,Q18,Question 13,C,H,-,N,4000
Result 2,C,H,N,O,14800,R18,Result 13,N,H,N,O,9521
Question 3,O,C,-,O,4000,Q10,Question 2,O,C,-,O,4000
Result 3,N,H,O,O,10840,R10,Result 2,O,H,-,O,10880
Question 4,H,C,H,C,4000,Q16,Question 27,H,C,H,C,4000
Result 4,N,C,-,N,9241,R16,Result 27,C,C,-,C,8920
Question 5,C,-,C,N,8000,Q3,Question 28,C,-,C,N,8000
Result 5,N,-,-,C,7160,R3,Result 28,C,-,C,N,7439
Question 6,C,H,-,N,8000,Q19,Question 12,C,H,-,N,8000
Result 6,N,N,-,C,8560,R19,Result 12,C,H,N,O,12719
Question 7,H,N,C,C,4000,Q26,Question 26,H,N,C,C,4000
Result 7,-,H,N,C,7000,R26,Result 26,H,C,C,C,7641
Question 8,H,N,C,C,8000,Q27,Question 7,H,N,C,C,8000
Result 8,C,N,C,C,7446,R27,Result 7,H,C,N,N,9680
Question 9,C,C,C,C,8000,Q1,Question 1,C,C,C,C,8000
Result 9,N,N,N,C,7514,R1,Result 1,N,N,N,N,13779
Question 10,C,H,H,H,8000,Q21,Question 21,C,H,H,H,8000
Result 10,C,H,C,H,8360,R21,Result 21,C,H,C,H,12080
Question 11,C,-,N,O,4000,Q8,Question 20,C,-,N,O,4000
Result 11,N,C,C,N,8520,R8,Result 20,C,-,N,O,8640
Question 12,C,-,C,N,4000,Q2,Question 22,C,-,C,N,4000
Result 12,N,-,C,H,6682,R2,Result 22,N,-,N,N,6520
Question 13,N,-,N,N,8000,Q7,Question 4,N,-,N,N,8000
Result 13,C,-,N,O,6918,R7,Result 4,C,-,N,N,14361
Question 14,H,C,H,C,8000,Q17,Question 16,H,C,H,C,8000
Result 14,H,H,-,C,9200,R17,Result 16,H,C,H,C,10281
Question 15,O,C,-,O,8000,Q11,Question 25,O,C,-,O,8000
Result 15,O,C,O,N,10600,R11,Result 25,O,N,-,O,9720
Question 16,H,C,C,C,8000,Q13,Question 19,H,C,C,C,8000
Result 16,H,C,N,H,8043,R13,Result 19,H,C,-,C,9801
Question 17,C,C,C,C,4000,Q0,Question 15,C,C,C,C,4000
Result 17,N,N,C,N,8598,R0,Result 15,N,C,C,C,9320
Question 18,C,-,N,O,8000,Q9,Question 24,C,-,N,O,8000
Result 18,O,N,O,O,8559,R9,Result 24,C,-,N,O,10559
Question 19,C,H,O,H,8000,Q25,Question 5,C,H,O,H,8000
Result 19,N,H,H,C,10441,R25,Result 5,C,H,N,H,13680
Question 20,C,H,N,H,4000,Q22,Question 14,C,H,N,H,4000
Result 20,N,H,N,H,8679,R22,Result 14,N,H,C,H,10601
Question 21,C,H,N,H,8000,Q23,Question 8,C,H,N,H,8000
Result 21,C,H,N,N,8160,R23,Result 8,N,H,C,H,15160
Question 22,N,-,N,N,4000,Q6,Question 10,N,-,N,N,4000
Result 22,O,-,N,O,6482,R6,Result 10,-,N,O,O,9520
Question 23,H,C,C,O,8000,Q15,Question 17,H,C,C,O,8000
Result 23,H,H,O,O,9519,R15,Result 17,C,C,N,O,8599
Question 24,H,C,C,C,4000,Q12,Question 11,H,C,C,C,4000
Result 24,N,N,N,N,7402,R12,Result 11,H,C,O,C,9881
Question 25,H,C,C,O,4000,Q14,Question 9,H,C,C,O,4000
Result 25,C,H,O,O,8399,R14,Result 9,H,C,N,O,9959
Question 26,C,H,H,H,4000,Q20,Question 23,C,H,H,H,4000
Result 26,C,N,-,N,7999,R20,Result 23,C,H,C,H,9121
Question 27,C,H,O,H,4000,Q24,Question 6,C,H,O,H,4000
Result 27,N,N,O,N,8961,R24,Result 6,-,H,C,C,9681
Question 28,C,-,C,O,8000,Q5,Question 18,C,-,C,O,8000
Result 28,N,-,H,O,6519,R5,Result 18,N,-,C,O,8480
