num_pre,T1,L1,B1,R1,time_pre,file_order,,,num_post,T2,L2,B2,R2,time_post
Question 1,H,C,C,O,8000,Q15,0.5,0.5,Question 1,H,C,C,O,8000
Result 1,C,C,C,C,26939,R15,,,Result 1,H,N,N,O,17558
Question 2,C,-,C,O,4000,Q4,0.5,1,Question 24,C,-,C,O,4000
Result 2,H,-,C,N,16442,R4,,,Result 24,C,-,C,O,8881
Question 3,N,-,N,N,8000,Q7,0.75,0.75,Question 8,N,-,N,N,8000
Result 3,C,-,N,N,28639,R7,,,Result 8,C,-,N,N,16839
Question 4,C,H,N,H,8000,Q23,0.5,0.75,Question 15,C,H,N,H,8000
Result 4,H,H,N,C,21481,R23,,,Result 15,C,H,-,H,10521
Question 5,H,C,H,C,4000,Q16,0.5,0.75,Question 20,H,C,H,C,4000
Result 5,H,H,H,H,14640,R16,,,Result 20,C,C,H,C,8640
Question 6,C,C,C,C,4000,Q0,0,0.5,Question 10,C,C,C,C,4000
Result 6,N,N,N,N,12560,R0,,,Result 10,N,C,C,N,11038
Question 7,C,C,C,C,8000,Q1,0,1,Question 17,C,C,C,C,8000
Result 7,N,N,N,N,19640,R1,,,Result 17,C,C,C,C,12160
Question 8,C,H,H,H,8000,Q21,0.75,1,Question 3,C,H,H,H,8000
Result 8,H,H,H,H,7681,R21,,,Result 3,C,H,H,H,15605
Question 9,C,-,N,O,8000,Q9,0.25,0.75,Question 28,C,-,N,O,8000
Result 9,O,O,O,O,9599,R9,,,Result 28,N,-,N,O,9679
Question 10,C,-,C,N,4000,Q2,0.75,1,Question 4,C,-,C,N,4000
Result 10,C,-,C,C,6961,R2,,,Result 4,C,-,C,N,16396
Question 11,C,H,-,N,4000,Q18,1,1,Question 25,C,H,-,N,4000
Result 11,C,H,-,N,11359,R18,,,Result 25,C,H,-,N,15640
Question 12,H,C,C,C,4000,Q12,0.5,1,Question 23,H,C,C,C,4000
Result 12,C,C,H,C,13721,R12,,,Result 23,H,C,C,C,8800
Question 13,H,C,H,C,8000,Q17,0.75,1,Question 21,H,C,H,C,8000
Result 13,C,C,H,C,22161,R17,,,Result 21,H,C,H,C,10681
Question 14,C,-,C,O,8000,Q5,0.5,0.5,Question 6,C,-,C,O,8000
Result 14,N,-,N,O,10280,R5,,,Result 6,N,-,N,O,10160
Question 15,C,H,N,H,4000,Q22,0.5,0.75,Question 7,C,H,N,H,4000
Result 15,-,H,N,N,17879,R22,,,Result 7,C,H,C,H,12042
Question 16,C,-,C,N,8000,Q3,0.25,1,Question 5,C,-,C,N,8000
Result 16,N,-,H,C,10400,R3,,,Result 5,C,-,C,N,9359
Question 17,N,-,N,N,4000,Q6,1,1,Question 22,N,-,N,N,4000
Result 17,N,-,N,N,9482,R6,,,Result 22,N,-,N,N,10119
Question 18,O,C,-,O,4000,Q10,0.5,1,Question 13,O,C,-,O,4000
Result 18,-,C,C,O,11839,R10,,,Result 13,O,C,-,O,12971
Question 19,C,H,O,H,8000,Q25,1,1,Question 9,C,H,O,H,8000
Result 19,C,H,O,H,9880,R25,,,Result 9,C,H,O,H,9841
Question 20,C,H,O,H,4000,Q24,0.25,1,Question 27,C,H,O,H,4000
Result 20,-,H,H,-,5801,R24,,,Result 27,C,H,O,H,8559
Question 21,C,-,N,O,4000,Q8,0.75,1,Question 14,C,-,N,O,4000
Result 21,C,-,N,N,17360,R8,,,Result 14,C,-,N,O,12320
Question 22,H,C,C,O,4000,Q14,1,0.75,Question 19,H,C,C,O,4000
Result 22,H,C,C,O,8760,R14,,,Result 19,H,C,C,N,7361
Question 23,H,N,C,C,8000,Q27,0.5,0.75,Question 12,H,N,C,C,8000
Result 23,H,C,N,N,13519,R27,,,Result 12,H,C,C,C,16640
Question 24,O,C,-,O,8000,Q11,0.5,0.75,Question 2,O,C,-,O,8000
Result 24,O,H,C,O,14360,R11,,,Result 2,N,C,-,O,12918
Question 25,H,N,C,C,4000,Q26,0.25,0.5,Question 18,H,N,C,C,4000
Result 25,H,C,C,N,9241,R26,,,Result 18,C,N,C,N,9960
Question 26,H,C,C,C,8000,Q13,0.5,0.75,Question 16,H,C,C,C,8000
Result 26,H,H,H,O,10720,R13,,,Result 16,H,C,C,N,11520
Question 27,C,H,H,H,4000,Q20,1,0.75,Question 11,C,H,H,H,4000
Result 27,C,H,H,H,7721,R20,,,Result 11,N,H,H,H,11641
Question 28,C,H,-,N,8000,Q19,0.75,1,Question 26,C,H,-,N,8000
Result 28,C,H,-,O,11919,R19,,,Result 26,C,H,-,N,14641
,,,,,,,16,23.5,,,,,,
