num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T1,L1,B1,R1,time_post
Question 1,Q15,H,C,C,O,8000,Question 1,H,C,C,O,8000
Result 1,R15,C,C,C,C,26939,Result 1,H,N,N,O,17558
Question 2,Q4,C,-,C,O,4000,Question 24,C,-,C,O,4000
Result 2,R4,H,-,C,N,16442,Result 24,C,-,C,O,8881
Question 3,Q7,N,-,N,N,8000,Question 8,N,-,N,N,8000
Result 3,R7,C,-,N,N,28639,Result 8,C,-,N,N,16839
Question 4,Q23,C,H,N,H,8000,Question 15,C,H,N,H,8000
Result 4,R23,H,H,N,C,21481,Result 15,C,H,-,H,10521
Question 5,Q16,H,C,H,C,4000,Question 20,H,C,H,C,4000
Result 5,R16,H,H,H,H,14640,Result 20,C,C,H,C,8640
Question 6,Q0,C,C,C,C,4000,Question 10,C,C,C,C,4000
Result 6,R0,N,N,N,N,12560,Result 10,N,C,C,N,11038
Question 7,Q1,C,C,C,C,8000,Question 17,C,C,C,C,8000
Result 7,R1,N,N,N,N,19640,Result 17,C,C,C,C,12160
Question 8,Q21,C,H,H,H,8000,Question 3,C,H,H,H,8000
Result 8,R21,H,H,H,H,7681,Result 3,C,H,H,H,15605
Question 9,Q9,C,-,N,O,8000,Question 28,C,-,N,O,8000
Result 9,R9,O,O,O,O,9599,Result 28,N,-,N,O,9679
Question 10,Q2,C,-,C,N,4000,Question 4,C,-,C,N,4000
Result 10,R2,C,-,C,C,6961,Result 4,C,-,C,N,16396
Question 11,Q18,C,H,-,N,4000,Question 25,C,H,-,N,4000
Result 11,R18,C,H,-,N,11359,Result 25,C,H,-,N,15640
Question 12,Q12,H,C,C,C,4000,Question 23,H,C,C,C,4000
Result 12,R12,C,C,H,C,13721,Result 23,H,C,C,C,8800
Question 13,Q17,H,C,H,C,8000,Question 21,H,C,H,C,8000
Result 13,R17,C,C,H,C,22161,Result 21,H,C,H,C,10681
Question 14,Q5,C,-,C,O,8000,Question 6,C,-,C,O,8000
Result 14,R5,N,-,N,O,10280,Result 6,N,-,N,O,10160
Question 15,Q22,C,H,N,H,4000,Question 7,C,H,N,H,4000
Result 15,R22,-,H,N,N,17879,Result 7,C,H,C,H,12042
Question 16,Q3,C,-,C,N,8000,Question 5,C,-,C,N,8000
Result 16,R3,N,-,H,C,10400,Result 5,C,-,C,N,9359
Question 17,Q6,N,-,N,N,4000,Question 22,N,-,N,N,4000
Result 17,R6,N,-,N,N,9482,Result 22,N,-,N,N,10119
Question 18,Q10,O,C,-,O,4000,Question 13,O,C,-,O,4000
Result 18,R10,-,C,C,O,11839,Result 13,O,C,-,O,12971
Question 19,Q25,C,H,O,H,8000,Question 9,C,H,O,H,8000
Result 19,R25,C,H,O,H,9880,Result 9,C,H,O,H,9841
Question 20,Q24,C,H,O,H,4000,Question 27,C,H,O,H,4000
Result 20,R24,-,H,H,-,5801,Result 27,C,H,O,H,8559
Question 21,Q8,C,-,N,O,4000,Question 14,C,-,N,O,4000
Result 21,R8,C,-,N,N,17360,Result 14,C,-,N,O,12320
Question 22,Q14,H,C,C,O,4000,Question 19,H,C,C,O,4000
Result 22,R14,H,C,C,O,8760,Result 19,H,C,C,N,7361
Question 23,Q27,H,N,C,C,4000,Question 12,H,N,C,C,4000
Result 23,R27,H,H,H,O,10720,Result 12,C,N,C,N,16640
Question 24,Q11,O,C,-,O,8000,Question 2,O,C,-,O,8000
Result 24,R11,O,H,C,O,14360,Result 2,N,C,-,O,12918
Question 25,Q26,H,N,C,C,4000,Question 18,H,N,C,C,4000
Result 25,R26,H,C,C,N,9241,Result 18,H,C,C,C,9960
Question 26,Q13,H,C,C,C,8000,Question 16,H,C,C,C,8000
Result 26,R13,H,C,N,N,13519,Result 16,H,C,C,N,11520
Question 27,Q20,C,H,H,H,4000,Question 11,C,H,H,H,4000
Result 27,R20,C,H,H,H,7721,Result 11,N,H,H,H,11641
Question 28,Q19,C,H,-,N,8000,Question 26,C,H,-,N,8000
Result 28,R19,C,H,-,O,11919,Result 26,C,H,-,N,14641
