num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q27,H,N,C,C,4000,Question 5,H,N,C,C,4000
Result 1,R27,H,N,-,-,44539,Result 5,H,N,C,C,8518
Question 2,Q23,C,H,N,H,8000,Question 28,C,H,N,H,8000
Result 2,R23,O,H,-,H,24880,Result 28,H,H,O,H,14160
Question 3,Q7,N,-,N,N,8000,Question 16,N,-,N,N,8000
Result 3,R7,O,-,-,O,13966,Result 16,-,-,N,N,10058
Question 4,Q26,H,N,C,C,4000,Question 10,H,N,C,C,4000
Result 4,R26,H,N,-,H,9154,Result 10,H,N,C,-,8919
Question 5,Q25,C,H,O,H,8000,Question 1,C,H,O,H,8000
Result 5,R25,N,H,-,H,18761,Result 1,-,H,O,C,16801
Question 6,Q5,C,-,C,O,8000,Question 14,C,-,C,O,8000
Result 6,R5,H,-,H,O,10640,Result 14,C,-,C,O,9441
Question 7,Q8,C,-,N,O,4000,Question 21,C,-,N,O,4000
Result 7,R8,H,-,N,-,7560,Result 21,C,-,N,O,8081
Question 8,Q17,H,C,H,C,8000,Question 22,H,C,H,C,8000
Result 8,R17,H,H,H,C,12440,Result 22,H,C,H,C,11599
Question 9,Q12,H,C,C,C,4000,Question 3,H,C,C,C,4000
Result 9,R12,H,-,C,C,10200,Result 3,H,C,C,N,16682
Question 10,Q6,N,-,N,N,4000,Question 13,N,-,N,N,4000
Result 10,R6,N,-,N,N,10879,Result 13,N,-,N,N,8120
Question 11,Q22,C,H,N,H,4000,Question 9,C,H,N,H,4000
Result 11,R22,H,H,N,H,13721,Result 9,-,H,N,H,6560
Question 12,Q13,H,C,C,C,8000,Question 26,H,C,C,C,8000
Result 12,R13,H,C,C,H,12400,Result 26,H,C,C,C,10440
Question 13,Q3,C,-,C,N,8000,Question 2,C,-,C,N,8000
Result 13,R3,H,-,H,N,15440,Result 2,C,-,C,N,10359
Question 14,Q16,H,C,H,C,4000,Question 11,H,C,H,C,4000
Result 14,R16,H,H,H,N,13587,Result 11,C,C,H,C,13161
Question 15,Q19,C,H,-,N,8000,Question 6,C,H,-,N,8000
Result 15,R19,H,H,-,C,12777,Result 6,C,H,-,O,9361
Question 16,Q11,O,C,-,O,8000,Question 15,O,C,-,O,8000
Result 16,R11,O,C,-,O,13319,Result 15,O,C,-,O,9040
Question 17,Q10,O,C,-,O,4000,Question 7,O,C,-,O,4000
Result 17,R10,-,C,-,O,11082,Result 7,-,C,-,O,15760
Question 18,Q1,C,C,C,C,8000,Question 23,C,C,C,C,8000
Result 18,R1,H,H,H,H,10520,Result 23,C,C,C,C,10082
Question 19,Q24,C,H,O,H,4000,Question 4,C,H,O,H,4000
Result 19,R24,H,C,H,-,9599,Result 4,-,H,C,H,7680
Question 20,Q18,C,H,-,N,4000,Question 18,C,H,-,N,4000
Result 20,R18,-,C,-,N,7000,Result 18,C,H,-,N,5639
Question 21,Q21,C,H,H,H,8000,Question 25,C,H,H,H,8000
Result 21,R21,C,H,H,H,8601,Result 25,C,H,H,H,9161
Question 22,Q2,C,-,C,N,4000,Question 8,C,-,C,N,4000
Result 22,R2,H,-,H,C,9720,Result 8,-,-,H,N,12402
Question 23,Q9,C,-,N,O,8000,Question 17,C,-,N,O,8000
Result 23,R9,H,-,N,O,9639,Result 17,C,-,N,O,8521
Question 24,Q15,H,C,C,O,8000,Question 19,H,C,C,O,8000
Result 24,R15,H,C,C,O,11282,Result 19,H,C,H,O,10161
Question 25,Q0,C,C,C,C,4000,Question 24,C,C,C,C,4000
Result 25,R0,C,C,C,C,7480,Result 24,-,-,C,C,10319
Question 26,Q4,C,-,C,O,4000,Question 12,C,-,C,O,4000
Result 26,R4,C,-,C,N,8520,Result 12,C,-,N,O,12440
Question 27,Q20,C,H,H,H,4000,Question 27,C,H,H,H,4000
Result 27,R20,C,H,H,-,6359,Result 27,C,H,H,C,6719
Question 28,Q14,H,C,C,O,4000,Question 20,H,C,C,O,4000
Result 28,R14,-,C,H,O,12680,Result 20,H,H,H,O,6920
