num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q1,C,C,C,C,8000,Question 27,C,C,C,C,8000
Result 1,R1,H,N,H,N,20583,Result 27,C,C,C,C,6599
Question 2,Q15,H,C,C,O,8000,Question 2,H,C,C,O,8000
Result 2,R15,C,O,C,O,24560,Result 2,H,N,C,N,9641
Question 3,Q12,H,C,C,C,4000,Question 19,H,C,C,C,4000
Result 3,R12,N,O,N,O,15640,Result 19,N,N,-,O,9479
Question 4,Q10,O,C,-,O,4000,Question 25,O,C,-,O,4000
Result 4,R10,C,H,C,H,15804,Result 25,O,H,O,O,8280
Question 5,Q27,H,N,C,C,8000,Question 28,H,N,C,C,8000
Result 5,R27,O,N,O,N,26158,Result 28,H,C,C,C,13080
Question 6,Q3,C,-,C,N,8000,Question 5,C,-,C,N,8000
Result 6,R3,N,O,N,O,20680,Result 5,C,-,C,O,8640
Question 7,Q22,C,H,N,H,4000,Question 26,C,H,N,H,4000
Result 7,R22,H,C,H,C,22521,Result 26,C,H,C,H,8640
Question 8,Q25,C,H,O,H,8000,Question 3,C,H,O,H,8000
Result 8,R25,O,H,O,H,13400,Result 3,C,H,O,C,8239
Question 9,Q23,C,H,N,H,8000,Question 22,C,H,N,H,8000
Result 9,R23,C,H,C,-,13039,Result 22,C,C,H,C,6081
Question 10,Q6,N,-,N,N,4000,Question 4,N,-,N,N,4000
Result 10,R6,N,N,N,N,8201,Result 4,N,-,N,N,6360
Question 11,Q2,C,-,C,N,4000,Question 7,C,-,C,N,4000
Result 11,R2,N,-,N,N,5641,Result 7,-,-,C,C,5040
Question 12,Q7,N,-,N,N,8000,Question 24,N,-,N,N,8000
Result 12,R7,N,-,N,N,9840,Result 24,N,-,N,N,6401
Question 13,Q9,C,-,N,O,8000,Question 21,C,-,N,O,8000
Result 13,R9,N,-,N,C,9880,Result 21,N,-,H,O,12160
Question 14,Q24,C,H,O,H,4000,Question 8,C,H,O,H,4000
Result 14,R24,N,C,N,C,22201,Result 8,N,H,O,N,5800
Question 15,Q11,O,C,-,O,8000,Question 6,O,C,-,O,8000
Result 15,R11,O,N,O,N,11655,Result 6,O,N,-,O,11000
Question 16,Q5,C,-,C,O,8000,Question 15,C,-,C,O,8000
Result 16,R5,O,-,O,O,4600,Result 15,C,-,C,O,14920
Question 17,Q4,C,-,C,O,4000,Question 20,C,-,C,O,4000
Result 17,R4,N,-,N,O,11761,Result 20,O,-,H,O,12480
Question 18,Q14,H,C,C,O,4000,Question 16,H,C,C,O,4000
Result 18,R14,N,C,N,C,24840,Result 16,C,C,C,O,6520
Question 19,Q19,C,H,-,N,8000,Question 14,C,H,-,N,8000
Result 19,R19,N,H,H,N,22361,Result 14,N,H,O,N,8401
Question 20,Q16,H,C,H,C,4000,Question 13,H,C,H,C,4000
Result 20,R16,N,O,N,O,6600,Result 13,C,N,C,N,4519
Question 21,Q20,C,H,H,H,4000,Question 12,C,H,H,H,4000
Result 21,R20,C,C,C,C,6400,Result 12,H,H,H,H,9560
Question 22,Q17,H,C,H,C,8000,Question 9,H,C,H,C,8000
Result 22,R17,O,N,O,N,4640,Result 9,N,O,N,O,5240
Question 23,Q26,H,N,C,C,4000,Question 23,H,N,C,C,4000
Result 23,R26,O,H,O,H,10080,Result 23,C,H,C,N,9999
Question 24,Q8,C,-,N,O,4000,Question 17,C,-,N,O,4000
Result 24,R8,N,-,N,N,4481,Result 17,C,-,N,N,6600
Question 25,Q0,C,C,C,C,4000,Question 18,C,C,C,C,4000
Result 25,R0,N,N,N,N,5000,Result 18,C,C,C,C,10161
Question 26,Q13,H,C,C,C,8000,Question 11,H,C,C,C,8000
Result 26,R13,C,O,C,O,9000,Result 11,N,H,N,H,12121
Question 27,Q18,C,H,-,N,4000,Question 10,C,H,-,N,4000
Result 27,R18,O,N,-,N,20439,Result 10,N,C,-,C,12120
Question 28,Q21,C,H,H,H,8000,Question 1,C,H,H,H,8000
Result 28,R21,N,N,C,N,9680,Result 1,N,H,H,H,11081
