num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q4,C,-,C,O,4000,Question 21,C,-,C,O,4000
Result 1,R4,C,-,-,C,17021,Result 21,C,-,C,O,7519
Question 2,Q20,C,H,H,H,4000,Question 3,C,H,H,H,4000
Result 2,R20,N,H,H,C,13200,Result 3,C,H,H,H,5759
Question 3,Q22,C,H,N,H,4000,Question 23,C,H,N,H,4000
Result 3,R22,N,C,C,N,19720,Result 23,H,H,N,H,8600
Question 4,Q3,C,-,C,N,8000,Question 4,C,-,C,N,8000
Result 4,R3,N,-,-,N,17400,Result 4,C,-,C,N,7040
Question 5,Q17,H,C,H,C,8000,Question 2,H,C,H,C,8000
Result 5,R17,N,H,H,H,16721,Result 2,H,H,H,H,7721
Question 6,Q24,C,H,O,H,4000,Question 20,C,H,O,H,4000
Result 6,R24,N,C,-,C,12520,Result 20,H,H,O,H,5723
Question 7,Q21,C,H,H,H,8000,Question 11,C,H,H,H,8000
Result 7,R21,H,C,C,C,14282,Result 11,H,H,H,H,8280
Question 8,Q2,C,-,C,N,4000,Question 1,C,-,C,N,4000
Result 8,R2,O,-,C,O,11038,Result 1,C,-,-,O,7799
Question 9,Q6,N,-,N,N,4000,Question 17,N,-,N,N,4000
Result 9,R6,O,O,-,O,5761,Result 17,O,-,O,O,8480
Question 10,Q13,H,C,C,C,8000,Question 18,H,C,C,C,8000
Result 10,R13,C,C,C,C,11479,Result 18,H,H,H,H,7921
Question 11,Q26,H,N,C,C,4000,Question 24,H,N,C,C,4000
Result 11,R26,C,N,C,C,8561,Result 24,H,N,C,N,7800
Question 12,Q23,C,H,N,H,8000,Question 6,C,H,N,H,8000
Result 12,R23,O,C,N,C,11359,Result 6,C,H,N,H,8239
Question 13,Q11,O,C,-,O,8000,Question 13,O,C,-,O,8000
Result 13,R11,-,C,-,O,13920,Result 13,O,C,-,O,9360
Question 14,Q15,H,C,C,O,8000,Question 26,H,C,C,O,8000
Result 14,R15,H,H,C,O,14481,Result 26,H,H,H,N,9120
Question 15,Q27,H,N,C,C,4000,Question 28,H,N,C,C,4000
Result 15,R27,C,N,-,C,11801,Result 28,H,N,C,H,6878
Question 16,Q1,C,C,C,C,8000,Question 7,C,C,C,C,8000
Result 16,R1,C,C,C,C,10161,Result 7,C,H,C,H,9280
Question 17,Q16,H,C,H,C,4000,Question 22,H,C,H,C,4000
Result 17,R16,H,N,H,H,12920,Result 22,H,H,C,H,6600
Question 18,Q19,C,H,-,N,8000,Question 15,C,H,-,N,8000
Result 18,R19,C,H,-,O,9119,Result 15,C,H,-,N,8880
Question 19,Q10,O,C,-,O,4000,Question 12,O,C,-,O,4000
Result 19,R10,-,N,-,O,8800,Result 12,O,C,-,O,7680
Question 20,Q25,C,H,O,H,8000,Question 9,C,H,O,H,8000
Result 20,R25,C,C,O,C,19681,Result 9,H,H,O,H,7881
Question 21,Q18,C,H,-,N,4000,Question 19,C,H,-,N,4000
Result 21,R18,C,H,-,O,9959,Result 19,H,H,-,N,7038
Question 22,Q8,C,-,N,O,4000,Question 5,C,-,N,O,4000
Result 22,R8,C,-,O,O,12080,Result 5,C,-,O,O,6602
Question 23,Q9,C,-,N,O,8000,Question 8,C,-,N,O,8000
Result 23,R9,N,-,O,O,11440,Result 8,C,-,N,O,10239
Question 24,Q14,H,C,C,O,4000,Question 14,H,C,C,O,4000
Result 24,R14,H,H,-,-,9760,Result 14,H,C,N,N,8880
Question 25,Q12,H,C,C,C,4000,Question 10,H,C,C,C,4000
Result 25,R12,H,H,-,H,16841,Result 10,H,C,C,C,7240
Question 26,Q0,C,C,C,C,4000,Question 16,C,C,C,C,4000
Result 26,R0,C,C,-,C,6440,Result 16,C,C,C,C,6161
Question 27,Q7,N,-,N,N,8000,Question 27,N,-,N,N,8000
Result 27,R7,N,N,-,N,12560,Result 27,N,-,C,N,9802
Question 28,Q5,C,-,C,O,8000,Question 25,C,-,C,O,8000
Result 28,R5,C,-,-,O,9640,Result 25,C,-,C,O,9000
