num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q24,C,H,O,H,4000,Question 12,C,H,O,H,4000
Result 1,R24,C,H,O,N,20352,Result 12,-,H,H,H,5521
Question 2,Q0,C,C,C,C,4000,Question 20,C,C,C,C,4000
Result 2,R0,C,C,C,C,20201,Result 20,N,N,N,N,12321
Question 3,Q19,C,H,-,N,8000,Question 11,C,H,-,N,8000
Result 3,R19,H,O,C,N,51001,Result 11,C,H,-,N,9040
Question 4,Q6,N,-,N,N,4000,Question 24,N,-,N,N,4000
Result 4,R6,H,H,H,H,11639,Result 24,C,C,C,C,8000
Question 5,Q17,H,C,H,C,8000,Question 16,H,C,H,C,8000
Result 5,R17,H,N,H,C,23283,Result 16,H,C,H,C,5679
Question 6,Q12,H,C,C,C,4000,Question 14,H,C,C,C,4000
Result 6,R12,H,C,N,C,12440,Result 14,H,C,C,C,5280
Question 7,Q2,C,-,C,N,4000,Question 28,C,-,C,N,4000
Result 7,R2,O,C,C,N,11280,Result 28,C,-,C,N,5719
Question 8,Q13,H,C,C,C,8000,Question 17,H,C,C,C,8000
Result 8,R13,H,C,C,C,11840,Result 17,H,C,C,C,14041
Question 9,Q9,C,-,N,O,8000,Question 8,C,-,N,O,8000
Result 9,R9,N,N,N,N,14359,Result 8,C,-,N,N,9000
Question 10,Q4,C,-,C,O,4000,Question 27,C,-,C,O,4000
Result 10,R4,N,-,N,O,13401,Result 27,C,-,C,O,7720
Question 11,Q11,O,C,-,O,8000,Question 1,O,C,-,O,8000
Result 11,R11,O,N,-,O,13162,Result 1,O,N,O,O,18322
Question 12,Q15,H,C,C,O,8000,Question 18,H,C,C,O,8000
Result 12,R15,C,N,N,O,19359,Result 18,H,C,C,N,8720
Question 13,Q5,C,-,C,O,8000,Question 4,C,-,C,O,8000
Result 13,R5,C,-,O,O,18521,Result 4,C,-,C,O,8120
Question 14,Q21,C,H,H,H,8000,Question 13,C,H,H,H,8000
Result 14,R21,H,C,C,C,13040,Result 13,H,H,H,H,5640
Question 15,Q1,C,C,C,C,8000,Question 23,C,C,C,C,8000
Result 15,R1,N,N,N,N,12800,Result 23,C,C,C,C,12800
Question 16,Q7,N,-,N,N,8000,Question 25,N,-,N,N,8000
Result 16,R7,C,-,C,C,17720,Result 25,C,-,C,C,13559
Question 17,Q25,C,H,O,H,8000,Question 26,C,H,O,H,8000
Result 17,R25,C,H,C,H,14441,Result 26,N,H,O,H,8361
Question 18,Q26,H,N,C,C,4000,Question 5,H,N,C,C,4000
Result 18,R26,H,N,C,N,10079,Result 5,H,C,N,C,6120
Question 19,Q3,C,-,C,N,8000,Question 6,C,-,C,N,8000
Result 19,R3,C,-,C,N,13641,Result 6,N,-,C,C,9000
Question 20,Q14,H,C,C,O,4000,Question 9,H,C,C,O,4000
Result 20,R14,H,C,H,N,13601,Result 9,H,N,C,O,7560
Question 21,Q22,C,H,N,H,4000,Question 3,C,H,N,H,4000
Result 21,R22,H,C,H,C,17080,Result 3,C,H,N,H,5240
Question 22,Q18,C,H,-,N,4000,Question 19,C,H,-,N,4000
Result 22,R18,N,H,C,C,14938,Result 19,N,H,C,N,8440
Question 23,Q20,C,H,H,H,4000,Question 7,C,H,H,H,4000
Result 23,R20,N,H,H,H,8481,Result 7,C,H,H,H,6521
Question 24,Q8,C,-,N,O,4000,Question 21,C,-,N,O,4000
Result 24,R8,N,C,O,N,11960,Result 21,N,N,O,O,8040
Question 25,Q27,H,N,C,C,4000,Question 22,H,N,C,C,4000
Result 25,R27,H,O,N,N,13000,Result 22,H,N,C,C,9840
Question 26,Q16,H,C,H,C,4000,Question 15,H,C,H,C,4000
Result 26,R16,H,N,H,N,6760,Result 15,H,C,H,C,5601
Question 27,Q10,O,C,-,O,4000,Question 2,O,C,-,O,4000
Result 27,R10,-,N,-,O,8519,Result 2,O,N,O,O,18279
Question 28,Q23,C,H,N,H,8000,Question 10,C,H,N,H,8000
Result 28,R23,C,H,N,H,12761,Result 10,N,H,N,H,10720
