num_pre,T1,L1,B1,R1,time_pre,file_order,,,num_post,T2,L2,B2,R2,time_post
Question 1,C,H,H,H,8000,Q21,0.5,1,Question 11,C,H,H,H,8000
Result 1,C,H,-,C,18666,R21,,,Result 11,C,H,H,H,8641
Question 2,C,H,-,N,8000,Q19,1,0.25,Question 20,C,H,-,N,8000
Result 2,C,H,-,N,10954,R19,,,Result 20,N,C,-,O,7842
Question 3,H,N,C,C,4000,Q27,0.25,0.5,Question 22,H,N,C,C,4000
Result 3,C,N,N,O,7520,R27,,,Result 22,H,N,-,N,10319
Question 4,C,H,O,H,4000,Q24,0.5,0.75,Question 19,C,H,O,H,4000
Result 4,C,H,-,C,7841,R24,,,Result 19,C,H,-,H,7080
Question 5,N,-,N,N,8000,Q7,0.5,0.5,Question 1,N,-,N,N,8000
Result 5,N,N,N,O,12878,R7,,,Result 1,N,-,C,C,14240
Question 6,C,H,H,H,4000,Q20,0.5,0.75,Question 10,C,H,H,H,4000
Result 6,C,H,-,C,6722,R20,,,Result 10,C,H,C,H,6281
Question 7,O,C,-,O,8000,Q11,0.5,1,Question 25,O,C,-,O,8000
Result 7,O,N,O,O,8799,R11,,,Result 25,O,C,-,O,8839
Question 8,C,H,N,H,4000,Q22,0.25,0.75,Question 26,C,H,N,H,4000
Result 8,N,H,O,C,6119,R22,,,Result 26,N,H,N,H,5320
Question 9,H,C,C,C,4000,Q12,0.75,0.5,Question 28,H,C,C,C,4000
Result 9,H,C,-,C,5642,R12,,,Result 28,H,N,-,C,10760
Question 10,C,-,C,N,8000,Q3,0.25,0.5,Question 23,C,-,C,N,8000
Result 10,N,-,N,O,9240,R3,,,Result 23,C,-,N,O,8481
Question 11,C,C,C,C,8000,Q1,1,1,Question 3,C,C,C,C,8000
Result 11,C,C,C,C,5960,R1,,,Result 3,C,C,C,C,12201
Question 12,H,C,H,C,8000,Q17,0.75,1,Question 24,H,C,H,C,8000
Result 12,H,C,-,C,10281,R17,,,Result 24,H,C,H,C,8760
Question 13,C,H,-,N,4000,Q18,0.75,1,Question 8,C,H,-,N,4000
Result 13,N,H,-,N,6279,R18,,,Result 8,C,H,-,N,4999
Question 14,C,-,C,O,4000,Q4,0.75,0.75,Question 9,C,-,C,O,4000
Result 14,C,-,C,N,6601,R4,,,Result 9,C,-,C,N,5159
Question 15,C,C,C,C,4000,Q0,0.75,0.5,Question 14,C,C,C,C,4000
Result 15,-,C,C,C,5479,R0,,,Result 14,-,C,-,C,8640
Question 16,C,-,N,O,8000,Q9,0.5,0.5,Question 4,C,-,N,O,8000
Result 16,N,-,N,N,5843,R9,,,Result 4,H,C,N,O,12120
Question 17,H,N,C,C,4000,Q26,0.5,0.75,Question 13,H,N,C,C,4000
Result 17,H,C,C,H,5478,R26,,,Result 13,C,N,C,C,6600
Question 18,O,C,-,O,4000,Q10,0.75,0.5,Question 27,O,C,-,O,4000
Result 18,-,C,-,O,7120,R10,,,Result 27,O,N,N,O,6040
Question 19,H,C,H,C,4000,Q16,0.75,0.75,Question 21,H,C,H,C,4000
Result 19,H,C,-,C,5680,R16,,,Result 21,H,C,-,C,5440
Question 20,C,-,N,O,4000,Q8,0.75,0.25,Question 7,C,-,N,O,4000
Result 20,C,-,N,N,4802,R8,,,Result 7,C,C,O,N,7880
Question 21,C,H,N,H,8000,Q23,0.25,0.5,Question 6,C,H,N,H,8000
Result 21,H,H,C,C,5438,R23,,,Result 6,N,H,O,H,8961
Question 22,H,C,C,O,8000,Q15,0.5,1,Question 16,H,C,C,O,8000
Result 22,C,N,C,O,7000,R15,,,Result 16,H,C,C,O,11360
Question 23,C,-,C,O,8000,Q5,0.75,0.75,Question 2,C,-,C,O,8000
Result 23,C,-,N,O,9363,R5,,,Result 2,C,-,C,N,9800
Question 24,N,-,N,N,4000,Q6,1,0.5,Question 17,N,-,N,N,4000
Result 24,N,-,N,N,5237,R6,,,Result 17,C,-,N,O,7561
Question 25,H,C,C,O,4000,Q14,0.5,1,Question 5,H,C,C,O,4000
Result 25,C,C,C,-,6761,R14,,,Result 5,H,C,C,O,7279
Question 26,H,C,C,C,8000,Q13,0.75,0.75,Question 18,H,C,C,C,8000
Result 26,C,C,C,C,4400,R13,,,Result 18,C,C,C,C,6040
Question 27,C,-,C,N,4000,Q2,1,0.5,Question 15,C,-,C,N,4000
Result 27,C,-,C,N,4721,R2,,,Result 15,H,-,C,-,6520
Question 28,C,H,O,H,8000,Q25,0.75,0.75,Question 12,C,H,O,H,8000
Result 28,C,H,N,H,7599,R25,,,Result 12,N,H,O,H,7919
,,,,,,,,,,,,,,
,,,,,,,17.75,19.25,,,,,,
