participant,pos,type,H,C,N,O,-
16,T,pre,0.875,0.4375,0.5,0.5,-
16,L,pre,1,0.4,0,-,1
16,B,pre,0.75,0.25,0.16666667,0.5,0.5
16,R,pre,1,0.375,0.16666667,1,-
16,T,post,0.875,0.8125,0,1,-
16,L,post,1,0.7,0,-,0.875
16,B,post,1,0.6666667,0.16666667,0.5,0.75
16,R,post,1,0.875,0.16666667,1,-
17,T,pre,0.875,0.375,0,0.5,-
17,L,pre,0.625,0.4,0.5,-,0.5
17,B,pre,0.75,0.41666666,0.33333334,0.5,0.5
17,R,pre,0.5,0.5,0.5,0.625,-
17,T,post,1,0.5,0,1,-
17,L,post,1,0.6,0.5,-,0.75
17,B,post,1,0.8333333,0.5,0.5,0.25
17,R,post,1,0.875,0.5,0.75,-
18,T,pre,0.375,0.4375,0,0.5,-
18,L,pre,0.875,0.1,0,-,0.625
18,B,pre,0.75,0.16666667,0.16666667,0,1
18,R,pre,0.8333333,0.25,0.16666667,0.75,-
18,T,post,0.75,0.6875,0.5,0.5,-
18,L,post,1,0.5,0.5,-,0.75
18,B,post,1,0.9166667,0.5,0.5,0.75
18,R,post,1,0.625,0.16666667,0.875,-
19,T,pre,0.75,0.5,1,0.5,-
19,L,pre,1,0.4,0,-,1
19,B,pre,0.25,0.41666666,0.16666667,0.5,0.5
19,R,pre,0.6666667,0.5,0.33333334,1,-
19,T,post,0.875,0.875,0.5,0.5,-
19,L,post,1,0.7,0,-,1
19,B,post,0.75,0.6666667,0.6666667,0.5,0.75
19,R,post,0.6666667,0.5,0.5,1,-
20,T,pre,1,0.5,0.5,0.5,-
20,L,pre,1,0.7,1,-,1
20,B,pre,1,0.5,0.8333333,0,0.75
20,R,pre,0.8333333,1,0.6666667,0.75,-
20,T,post,1,0.625,1,0.5,-
20,L,post,1,0.9,1,-,1
20,B,post,1,0.6666667,0.6666667,0.5,1
20,R,post,1,0.875,0.8333333,1,-
21,T,pre,0.75,0.75,1,1,-
21,L,pre,1,0.8,0,-,0.875
21,B,pre,1,0.75,0.6666667,0,0.5
21,R,pre,1,0.875,0.8333333,0.5,-
21,T,post,1,0.9375,1,0.5,-
21,L,post,1,1,1,-,1
21,B,post,1,0.8333333,0.8333333,0.5,0.75
21,R,post,1,0.75,0.8333333,0.875,-
22,T,pre,0.625,0.5,0.5,1,-
22,L,pre,0.875,0.6,0,-,0.625
22,B,pre,1,0.5833333,0.33333334,0.5,0.75
22,R,pre,0.8333333,0.625,0.5,0.625,-
22,T,post,1,0.875,0.5,1,-
22,L,post,1,0.7,0,-,0.75
22,B,post,1,0.75,0.6666667,0.5,1
22,R,post,1,0.5,0.5,0.75,-
