num_pre,T1,L1,B1,R1,time_pre,file_order,,,num_post,T2,L2,B2,R2,time_post
Question 1,C,-,C,N,4000,Q2,0.25,1,Question 2,C,-,C,N,4000
Result 1,N,N,N,N,18094,R2,,,Result 2,C,-,C,N,13560
Question 2,C,-,N,O,4000,Q8,0.25,0.75,Question 14,C,-,N,O,4000
Result 2,H,H,H,O,21601,R8,,,Result 14,C,-,O,O,18919
Question 3,H,C,H,C,8000,Q17,0.25,0.5,Question 6,H,C,H,C,8000
Result 3,C,C,C,N,20400,R17,,,Result 6,H,C,C,C,31803
Question 4,H,C,H,C,4000,Q16,0.5,1,Question 18,H,C,H,C,4000
Result 4,C,C,C,C,26565,R16,,,Result 18,H,C,H,C,15121
Question 5,H,C,C,C,4000,Q12,0.25,0.25,Question 28,H,C,C,C,4000
Result 5,C,N,C,N,28276,R12,,,Result 28,H,H,H,H,7799
Question 6,O,C,-,O,8000,Q11,0.5,0.5,Question 12,O,C,-,O,8000
Result 6,C,C,O,O,18479,R11,,,Result 12,O,N,O,O,10200
Question 7,H,C,C,O,4000,Q14,0.5,0.5,Question 23,H,C,C,O,4000
Result 7,C,C,H,O,9761,R14,,,Result 23,H,N,-,O,17561
Question 8,C,-,C,O,4000,Q4,0.5,0.5,Question 4,C,-,C,O,4000
Result 8,O,C,C,O,11480,R4,,,Result 4,N,-,N,O,10439
Question 9,C,C,C,C,4000,Q0,1,0.25,Question 25,C,C,C,C,4000
Result 9,C,C,C,C,11599,R0,,,Result 25,C,H,H,H,12920
Question 10,C,H,-,N,8000,Q19,0.5,0.25,Question 7,C,H,-,N,8000
Result 10,-,H,H,N,17001,R19,,,Result 7,C,C,C,N,12159
Question 11,C,H,O,H,4000,Q24,0.25,0.25,Question 1,C,H,O,H,4000
Result 11,N,H,N,N,50962,R24,,,Result 1,-,C,O,C,17679
Question 12,C,-,C,O,8000,Q5,0.25,0.75,Question 15,C,-,C,O,8000
Result 12,H,O,H,O,22040,R5,,,Result 15,C,-,C,N,9200
Question 13,C,H,O,H,8000,Q25,0.5,1,Question 5,C,H,O,H,8000
Result 13,N,H,N,H,9360,R25,,,Result 5,C,H,O,H,11839
Question 14,C,H,N,H,4000,Q22,0.25,0.75,Question 10,C,H,N,H,4000
Result 14,N,H,H,N,11120,R22,,,Result 10,C,H,N,C,9438
Question 15,O,C,-,O,4000,Q10,0.5,0.25,Question 20,O,C,-,O,4000
Result 15,C,C,O,O,11202,R10,,,Result 20,-,N,O,O,6639
Question 16,H,N,C,C,4000,Q26,0.75,0.75,Question 16,H,N,C,C,4000
Result 16,N,N,C,C,17799,R26,,,Result 16,H,N,C,-,15679
Question 17,C,-,N,O,8000,Q9,0.5,0.75,Question 26,C,-,N,O,8000
Result 17,N,O,N,O,16360,R9,,,Result 26,C,-,N,N,12800
Question 18,N,-,N,N,8000,Q7,0.75,0.25,Question 27,N,-,N,N,8000
Result 18,N,N,N,N,10320,R7,,,Result 27,C,-,C,C,15721
Question 19,H,N,C,C,4000,Q27,0.25,1,Question 19,H,N,C,C,4000
Result 19,H,H,H,H,9760,R27,,,Result 19,H,N,C,C,13599
Question 20,N,-,N,N,4000,Q6,0.25,1,Question 24,N,-,N,N,4000
Result 20,N,N,N,N,10601,R6,,,Result 24,N,-,N,N,10239
Question 21,H,C,C,O,8000,Q15,0.5,0.75,Question 11,H,C,C,O,8000
Result 21,H,H,H,O,13520,R15,,,Result 11,C,C,C,O,10801
Question 22,H,C,C,C,8000,Q13,0.25,0.5,Question 17,H,C,C,C,8000
Result 22,H,H,H,N,19041,R13,,,Result 17,H,H,N,C,17480
Question 23,C,-,C,N,8000,Q3,0.5,0.25,Question 9,C,-,C,N,8000
Result 23,N,-,N,N,18120,R3,,,Result 9,N,-,-,O,10362
Question 24,C,C,C,C,8000,Q1,0,0.75,Question 13,C,C,C,C,8000
Result 24,-,-,N,N,12560,R1,,,Result 13,-,C,C,C,15842
Question 25,C,H,H,H,8000,Q21,0.75,0,Question 8,C,H,H,H,8000
Result 25,N,H,H,H,9521,R21,,,Result 8,N,C,C,C,9920
Question 26,C,H,N,H,8000,Q23,0.75,0.75,Question 21,C,H,N,H,8000
Result 26,C,H,O,H,9080,R23,,,Result 21,N,H,N,H,14002
Question 27,C,H,-,N,4000,Q18,0.75,0.5,Question 3,C,H,-,N,4000
Result 27,-,H,-,N,7000,R18,,,Result 3,N,H,-,O,11722
Question 28,C,H,H,H,4000,Q20,0.75,0.75,Question 22,C,H,H,H,4000
Result 28,N,H,H,H,11679,R20,,,Result 22,C,H,C,H,11599
,,,,,,,,,,,,,,
,7,16,10,21,,,13,17,,18,19,14,17,
